difficulty	halflife	p_recall	delta_t	reps	lapses	last_date	due_date	r_history	t_history	p_history	state	cost
3	364.1424	0.9924	4	4	1	85	445	0,1,1,1,0,1,1,1,1	0,1,3,8,25,2,9,29,8	0.72,0.78,0.88,0.90,0.88,0.87,0.81,0.82,0.98	[364.1423633527034, 5]	9
2	378.2559	0.8942	61	2	0	28	388	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
4	372.5281	0.9387	34	6	1	55	415	0,0,1,1,1,1,1,1	0,1,1,3,8,13,23,6	0.66,0.73,0.65,0.83,0.86,0.91,0.92,0.99	[372.5280800240044, 6]	8
6	371.5653	0.9724	15	7	2	74	434	0,0,0,1,1,1,1,1,1,1	0,1,1,1,2,5,12,12,31,9	0.55,0.62,0.58,0.56,0.84,0.85,0.85,0.93,0.89,0.98	[371.56534844610536, 10]	11
4	379.7965	0.9783	12	7	2	77	437	1,1,0,0,1,1,1,1,1,1,1	0,3,8,1,1,3,5,10,31,11,4	0.66,0.91,0.90,0.90,0.80,0.83,0.90,0.90,0.85,0.97,0.99	[379.79652727976764, 8]	12
4	111.3067	0.9165	14	4	3	75	108	0,1,1,1,0,0,1,1,0,1,1,1,1	0,1,3,8,32,1,1,3,8,1,3,4,10	0.66,0.73,0.86,0.89,0.83,0.92,0.82,0.84,0.85,0.87,0.85,0.92,0.88	[111.30674626796196, 10]	15
3	363.058	0.9371	34	5	1	55	415	1,0,1,1,1,1,1	0,7,1,3,7,29,8	0.72,0.84,0.87,0.87,0.89,0.82,0.98	[363.057957508416, 5]	7
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
9	369.3518	0.9596	22	5	0	67	427	1,1,1,1,1,1	0,2,5,8,17,35	0.39,0.86,0.86,0.91,0.89,0.88	[369.35175212990805, 9]	5
6	372.0628	0.9386	34	5	0	55	415	0,1,1,1,1,1	0,1,2,5,16,31	0.55,0.62,0.88,0.89,0.85,0.89	[372.06279030170253, 6]	5
6	371.5653	0.9724	15	7	2	74	434	0,0,0,1,1,1,1,1,1,1	0,1,1,1,2,5,12,12,31,9	0.55,0.62,0.58,0.56,0.84,0.85,0.85,0.93,0.89,0.98	[371.56534844610536, 10]	11
3	372.1637	0.9077	52	4	0	37	397	0,1,1,1,1	0,1,3,8,25	0.72,0.78,0.88,0.90,0.88	[372.16371681362233, 3]	4
7	30.9872	0.8942	5	2	2	84	90	1,1,1,1,0,1,1,0,1,1	0,3,6,13,36,2,4,16,1,3	0.49,0.85,0.89,0.89,0.86,0.86,0.89,0.80,0.88,0.85	[30.987198919548128, 11]	11
3	371.0792	0.9742	14	8	3	75	435	0,0,1,0,1,0,1,1,1,1,1,1,1,1	0,1,1,2,1,3,1,2,6,10,27,12,6,3	0.72,0.78,0.69,0.89,0.84,0.85,0.82,0.89,0.85,0.90,0.86,0.97,0.99,0.99	[371.07919399600326, 9]	16
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
10	371.5964	0.9688	17	5	0	72	432	1,1,1,1,1,1	0,2,5,9,19,37	0.34,0.84,0.85,0.89,0.88,0.88	[371.5964115666552, 10]	5
6	365.5276	0.9868	7	6	2	82	442	0,0,1,1,0,1,1,1,1,1,1	0,1,1,2,6,1,2,4,15,39,11	0.55,0.62,0.58,0.86,0.84,0.86,0.89,0.90,0.81,0.81,0.98	[365.5276086008463, 10]	12
6	18.5094	0.8609	4	2	6	85	90	0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1	0,1,1,1,2,1,2,5,1,2,5,12,14,33,2,1,2	0.55,0.62,0.58,0.56,0.84,0.79,0.87,0.85,0.85,0.88,0.85,0.84,0.91,0.87,0.86,0.80,0.85	[18.509383376468318, 18]	22
7	384.6588	0.9698	17	7	1	72	432	0,0,1,1,1,1,1,1,1	0,1,1,2,4,6,16,35,7	0.49,0.57,0.55,0.85,0.89,0.92,0.88,0.87,0.99	[384.65884880085565, 9]	9
8	368.3393	0.9558	24	5	0	65	425	0,1,1,1,1,1	0,1,2,7,14,41	0.44,0.53,0.85,0.82,0.87,0.83	[368.3393006788219, 8]	5
8	20.0103	0.8706	4	1	3	85	91	1,1,0,1,0,1,1,1,1,1,0,1	0,2,7,1,3,1,2,4,8,14,41,2	0.44,0.88,0.83,0.86,0.84,0.81,0.87,0.88,0.88,0.89,0.83,0.85	[20.01028914708589, 14]	14
3	362.5786	0.9886	6	4	1	83	443	1,1,0,1,1,1,1	0,7,28,2,9,29,8	0.72,0.84,0.83,0.84,0.80,0.82,0.98	[362.57863747912205, 5]	7
1	378.4602	0.8813	69	3	0	20	380	0,1,1,1	0,1,4,15	0.86,0.88,0.91,0.91	[378.46015578859345, 1]	3
4	370.0995	0.9192	45	4	0	44	404	0,1,1,1,1	0,1,3,8,32	0.66,0.73,0.86,0.89,0.83	[370.09947232165575, 4]	4
4	374.0448	0.9601	22	5	1	67	427	0,1,1,0,1,1,1,1,1	0,1,3,8,1,3,10,32,9	0.66,0.73,0.86,0.89,0.90,0.88,0.85,0.82,0.98	[374.044776432369, 6]	9
3	364.5756	0.9024	54	2	0	35	395	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
9	67.5893	0.8842	12	2	1	77	94	1,1,1,1,1,0,1,1	0,2,5,8,17,35,3,7	0.39,0.86,0.86,0.91,0.89,0.88,0.82,0.85	[67.58928114889814, 11]	8
